meanY	env_code	DL	GDD	PTT	PTR	PTS
55.7184517952046	06PR06	11.8712	28.7775	341.6343	2.4241	412167.4321
61.0540986741087	05FL06	12.1956	25.0566	305.8328	2.053	453193.2374
63.92749487568	11FL07	11.8881	23.3381	277.7605	1.961	363367.4387
69.2800379660731	02MO06	15.9431	24.0356	383.2196	1.5075	799348.5918
72.6831019739366	07NC07	15.3412	20.9981	322.2979	1.3681	884308.2212
74.712747316096	10IL07	16.0956	23.2538	374.3305	1.4445	912219.3369
75.7671813399892	01NC06	15.3844	21.4425	329.8776	1.3938	733992.2542
82.1480437000644	04IL06	15.9975	18.9675	303.2417	1.1864	757228.2939
82.9761458812613	09NY07	16.4506	17.685	291.0968	1.0744	907456.7463
