line_code	Intcp_mean	Slope_mean	Intcp_para	Slope_para
Va17	69.5556	0.8077	69.5556	-15.5056
Va22	69.344	1.0154	69.0942	-20.965
Va26	65.8889	1.0062	65.8889	-18.9985
Va35	70.1111	0.834	70.1111	-15.4154
Va59	66	0.8159	66	-15.4137
Va85	65.5947	1.2312	65.2242	-23.5987
Va99	69.8889	0.6814	69.8889	-12.3294
VaW6	66.2919	0.9546	66.4875	-18.495
W117Ht	58.9269	0.8015	58.7635	-16.3854
W153R	63.8889	1.0455	63.8889	-20.5569
W182B	56.8662	0.8619	56.796	-16.5542
W22	66.1111	1.057	66.1111	-20.3746
W22 R-rstd	64.8889	1.0577	64.8889	-21.0158
W64A	64.6667	0.9964	64.6667	-19.7776
WD	55.604	0.9034	55.4754	-17.2327
Wf9	65.1108	0.9144	64.8824	-18.697
Yu796_NS	66.5097	1.1269	66.2672	-22.9292
Ki14	84.0818	1.7949	82.8946	-32.5424
T234	75.2515	0.8216	75.1594	-15.7751
CML331	76.0083	0.8686	76.4128	-18.3919
