env_code	date	TMAX	TMIN	DL	GDD	PTT	PTR	PTD1	PTD2	PTS
01NC06	2006-05-03	75.02	42.98	14.63	12.51	183.0213	0.8551	468.7452	2.19	809213.5886
01NC06	2006-05-04	75.92	50	14.67	12.96	190.1232	0.8834	380.2464	1.7669	702408.7935
01NC06	2006-05-05	80.96	55.94	14.7	18.45	271.215	1.2551	367.794	1.702	740159.6794
01NC06	2006-05-06	80.96	62.06	14.72	21.51	316.6272	1.4613	278.208	1.284	585698.6161
01NC06	2006-05-07	82.04	51.98	14.75	17.01	250.8975	1.1532	443.385	2.038	876481.2511
01NC06	2006-05-08	57.02	46.94	14.78	3.51	51.8778	0.2375	148.9824	0.682	228915.7483
01NC06	2006-05-09	66.02	50	14.82	8.01	118.7082	0.5405	237.4164	1.081	408217.6518
01NC06	2006-05-10	66.02	46.04	14.85	8.01	118.9485	0.5394	296.703	1.3455	493740.792
01NC06	2006-05-11	71.06	48.02	14.88	10.53	156.6864	0.7077	342.8352	1.5484	607473.2564
01NC06	2006-05-12	80.96	44.96	14.92	15.48	230.9616	1.0375	537.12	2.4129	1009101.524
01NC06	2006-05-13	71.96	46.04	14.95	10.98	164.151	0.7344	387.504	1.7338	683595.8064
01NC06	2006-05-14	75.02	46.04	14.98	12.51	187.3998	0.8351	434.1204	1.9346	787268.142
01NC06	2006-05-15	73.94	51.98	15	12.96	194.4	0.864	329.4	1.464	622170.72
01NC06	2006-05-16	71.96	48.02	15.02	10.98	164.9196	0.731	359.5788	1.5939	647996.8116
01NC06	2006-05-17	69.98	48.02	15.05	9.99	150.3495	0.6638	330.498	1.4591	586931.3982
01NC06	2006-05-18	75.02	48.02	15.08	12.51	188.6508	0.8296	407.16	1.7905	755462.2533
01NC06	2006-05-19	78.08	48.02	15.12	14.04	212.2848	0.9286	454.5072	1.9881	866577.9718
01NC06	2006-05-20	73.04	48.92	15.13	11.52	174.2976	0.7614	364.9356	1.5942	673399.1676
01NC06	2006-05-21	69.98	69.08	15.17	19.53	296.2701	1.2874	13.653	0.0593	28801.5524
01NC06	2006-05-22	82.94	59	15.18	20.97	318.3246	1.3814	363.4092	1.5771	783019.3421
01NC06	2006-05-23	82.94	51.98	15.2	17.46	265.392	1.1487	470.592	2.0368	965082.5441
01NC06	2006-05-24	73.94	46.04	15.23	11.97	182.3031	0.7859	424.917	1.8319	776448.8795
01NC06	2006-05-25	80.06	50	15.27	15.03	229.5081	0.9843	459.0162	1.9686	911613.6093
01NC06	2006-05-26	87.08	62.96	15.28	24.48	374.0544	1.6021	368.5536	1.5785	844950.1112
01NC06	2006-05-27	77	75.92	15.3	26.46	404.838	1.7294	16.524	0.0706	38660.8062
01NC06	2006-05-28	86	62.06	15.32	24.03	368.1396	1.5685	366.7608	1.5627	831915.894
01NC06	2006-05-29	86	62.06	15.35	24.03	368.8605	1.5655	367.479	1.5596	835177.2404
01NC06	2006-05-30	86	60.08	15.37	23.04	354.1248	1.499	398.3904	1.6864	894485.8862
01NC06	2006-05-31	89.06	66.02	15.38	26.01	400.0338	1.6912	354.3552	1.498	845183.3599
01NC06	2006-06-01	87.08	64.04	15.4	25.02	385.308	1.6247	354.816	1.4961	825744.8264
01NC06	2006-06-02	87.08	66.02	15.42	26.01	401.0742	1.6868	324.7452	1.3658	766659.1177
01NC06	2006-06-03	87.08	69.08	15.43	27.54	424.9422	1.7848	277.74	1.1666	669228.0837
01NC06	2006-06-04	78.08	55.94	15.45	17.01	262.8045	1.101	342.063	1.433	708278.7264
01NC06	2006-06-05	82.04	59	15.47	20.52	317.4444	1.3264	356.4288	1.4893	777688.0067
01NC06	2006-06-06	73.04	57.92	15.48	15.48	239.6304	1	234.0576	0.9767	474495.7974
01NC06	2006-06-07	77	55.04	15.5	16.02	248.31	1.0335	340.38	1.4168	696628.5156
01NC06	2006-06-08	82.94	57.92	15.5	20.43	316.665	1.3181	387.81	1.6142	846717.2073
01NC06	2006-06-09	80.96	59	15.52	19.98	310.0896	1.2874	340.8192	1.4149	740320.3772
01NC06	2006-06-10	84.02	60.98	15.52	22.5	349.2	1.4497	357.5808	1.4845	804699.8323
01NC06	2006-06-11	86	62.96	15.53	24.48	380.1744	1.5763	357.8112	1.4836	827742.1101
01NC06	2006-06-12	87.08	66.02	15.53	26.01	403.9353	1.6748	327.0618	1.3561	777636.1993
