line_code,ARH1,COH1,GAH2,GAH1,NYH1,NCH1,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH2,DEH1,IAH4,WIH2,IAH1,WIH1,IAH3
BSSSC0_038/3IIH6,120.52,NA,NA,NA,127.505,NA,123.47,NA,NA,NA,89.62,159.31,147.915,NA,NA,NA,NA,NA,NA
BSSSC0_054/3IIH6,114.865,NA,NA,NA,81.35,NA,148.51,NA,48.575,82.6,79.595,87.215,91.21,75.045,112.595,62.96236813,85.72,86.26624007,120.835
BSSSC0_057/3IIH6,119.525,NA,NA,NA,109.005,NA,123.935,NA,NA,NA,NA,NA,184.86,NA,NA,NA,NA,NA,NA
BSSSC0_060/3IIH6,93.64,NA,NA,NA,145.585,NA,NA,NA,NA,NA,NA,NA,182.04,NA,NA,NA,NA,NA,NA
CG102/3IIH6,129.045,NA,NA,NA,153.915,NA,129.965,NA,142.8,159.265,203.615,164.25,204.055,197.22,192.94,217.60626795,213.71,244.17843705,228.6
CG106/3IIH6,85,NA,NA,NA,114.32,NA,145.115,NA,NA,NA,103.51,141.175,183.55,NA,NA,NA,NA,NA,NA
CG118/CGR01,NA,83.91,NA,NA,76.4,NA,NA,156.64,NA,163.28,NA,143.225,188.96,NA,146.47,157.436612,NA,168.9265537,NA
CG120/3IIH6,NA,84.5825,NA,NA,130.495,NA,NA,148.67,NA,156.065,NA,164.36,158.535,NA,156.245,177.8935017,NA,208.98335125,NA
CG120/LH162,NA,106.7775,NA,NA,103.285,NA,NA,127.535,NA,135.805,NA,119.605,144.11,NA,130.215,143.81515765,NA,104.25051479,NA
CG120/LH185,NA,112.673333333333,NA,NA,111.84,NA,NA,161.92,NA,178.065,NA,201.465,190.645,NA,152.68,179.3356547,NA,215.7285317,NA
CG120/PHK05,NA,73,NA,NA,NA,NA,NA,125.635,NA,127.165,NA,105.06,NA,NA,113.77,145.97202705,NA,151.0196881,NA
CG120/PHR25,NA,103.0875,NA,NA,74.86,NA,NA,129.175,NA,156.655,NA,121.13,140.17,NA,133.095,149.97077345,NA,154.89483095,NA
CG120/PHZ51,NA,81.0066666666667,NA,NA,72.065,NA,NA,109.77,NA,136.545,NA,117.3,133.365,NA,113.78,121.7579493,NA,133.53396995,NA
CG123/S8324,NA,136.8175,NA,NA,106.305,NA,NA,127.82,NA,177.95,NA,167.455,185.045,NA,154.755,177.23029375,NA,194.73860695,NA
CG124/CG120,NA,103.1825,NA,NA,80.845,NA,NA,163.185,NA,137.245,NA,149.26,172.57,NA,149.03,163.9230786,NA,175.52595395,NA
CG124/LH145,NA,80.405,NA,NA,113.545,NA,NA,138.02,NA,108.165,NA,113.32,158.305,NA,88.96,101.3737405,NA,194.7176019,NA
CG124/PHHV4,NA,91.7925,NA,NA,130.5,NA,NA,154.83,NA,118.84,NA,147.47,191.765,NA,138.755,188.0291602,NA,221.2483466,NA
CG124/PHRE1,NA,86.855,NA,NA,143.555,NA,NA,142.545,NA,137.86,NA,149.135,173.185,NA,153.555,176.70792855,NA,200.86175275,NA
