line_code,NEH4,ONH2,TXH1-Late,ARH1,COH1,NEH3,GAH2,GAH1,NYH1,NCH1,TXH2,ARH2,MNH1,MOH1,IAH2,OHH1,MIH1,NYH3,TXH1-Dry,TXH1-Early,NYH2,ILH1,DEH1,IAH4,ONH1,WIH2,IAH1,WIH1,INH1,IAH3
B84/3IIH6,NA,NA,NA,137.79,NA,NA,NA,NA,128.895,NA,NA,184.08,NA,NA,130.55,149.16,149.215,NA,NA,NA,184.32,209.655,NA,NA,NA,NA,215.745,NA,NA,216.39
B97/PHB47,NA,NA,64.885,NA,NA,NA,112.165,101.13,NA,NA,132.75,NA,NA,174.29,NA,NA,NA,NA,150.08,158.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGEM-0005-N/LH195,NA,NA,NA,NA,NA,NA,82.525,NA,NA,NA,NA,NA,132.995,112.85,NA,NA,NA,NA,NA,177.925,NA,NA,NA,166.98,NA,NA,148.24,134.0962113,NA,169.355
BGEM-0040-N/LH195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGEM-0063-N/LH195,NA,NA,NA,NA,NA,NA,145.475,NA,NA,127.445,NA,NA,186.695,142.25,150.285,NA,NA,NA,NA,184.195,NA,NA,NA,180.22,NA,NA,214.685,200.85162675,NA,239.84
BGEM-0089-N/LH195,NA,NA,NA,NA,NA,NA,124.11,NA,NA,134.145,NA,NA,115.5,110.76,180.475,NA,NA,NA,NA,132.905,NA,NA,NA,176.305,NA,NA,146.145,159.22689685,NA,170.82
BGEM-0124-N/LH195,NA,NA,NA,NA,NA,NA,119.625,NA,NA,118.6275,NA,NA,119.24,126.386666666667,119.342,NA,NA,NA,NA,169.845,NA,NA,NA,142.618333333333,NA,NA,144.568333333333,158.583006333333,NA,169.085
BGEM-0125-N/LH195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGEM-0129-N/LH195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGEM-0151-N/LH195,NA,NA,NA,NA,NA,NA,101.215,NA,NA,117.25,NA,NA,133.37,129.35,134.13,NA,NA,NA,NA,144.7,NA,NA,NA,131.84,NA,NA,159.13,171.9367646,NA,191.5
BGEM-0182-N/LH195,NA,NA,NA,NA,NA,NA,131.51,NA,NA,NA,NA,NA,124.27,139.79,142,NA,NA,NA,NA,188.525,NA,NA,NA,180.855,NA,NA,190.29,156.6521855,NA,239.86
BGEM-0202-N/LH195,NA,NA,NA,NA,NA,NA,149.505,NA,NA,133.755,NA,NA,110.53,143.67,181.14,NA,NA,NA,NA,172.665,NA,NA,NA,195.07,NA,NA,195.905,176.5806847,NA,211.06
BGEM-0203-N/LH195,NA,NA,NA,NA,NA,NA,102.95,NA,NA,106.73,NA,NA,95.245,114.065,121.02,NA,NA,NA,NA,158.2,NA,NA,NA,126.655,NA,NA,164.54,170.53741675,NA,122.605
BGEM-0206-N/LH195,NA,NA,NA,NA,NA,NA,143.07,NA,NA,NA,NA,NA,87.755,123.66,NA,NA,NA,NA,NA,153.41,NA,NA,NA,168.445,NA,NA,NA,178.28623795,NA,125.3
BGEM-0207-N/LH195,NA,NA,NA,NA,NA,NA,133.215,NA,NA,124.9,NA,NA,92.62,145.9,NA,NA,NA,NA,NA,154.015,NA,NA,NA,166.63,NA,NA,NA,145.18228655,NA,184.5
BGEM-0211-N/LH195,NA,NA,NA,NA,NA,NA,148.03,NA,NA,NA,NA,NA,107.95,137.21,153.625,NA,NA,NA,NA,182.135,NA,NA,NA,167.415,NA,NA,199.49,158.9312777,NA,205.665
BGEM-0227-N/LH195,NA,NA,NA,NA,NA,NA,113.745,NA,NA,146.33,NA,NA,98.82,175.23,137.93,NA,NA,NA,NA,174.07,NA,NA,NA,154.725,NA,NA,169.715,147.2962671,NA,173.43
BGEM-0235-N/LH195,NA,NA,NA,NA,NA,NA,132.22,NA,NA,150.44,NA,NA,151.475,143.955,201.535,NA,NA,NA,NA,190.96,NA,NA,NA,206.075,NA,NA,227.235,207.6541737,NA,242.975
BGEM-0239-N/LH195,NA,NA,NA,NA,NA,NA,131.41,NA,NA,150.84,NA,NA,170.665,148.77,160.485,NA,NA,NA,NA,155,NA,NA,NA,177.635,NA,NA,179.59,174.4583356,NA,212.555
BGEM-0246-N/LH195,NA,NA,NA,NA,NA,NA,152.05,NA,NA,NA,NA,NA,82.02,149.4,182.42,NA,NA,NA,NA,188.63,NA,NA,NA,176.89,NA,NA,184.305,215.41023375,NA,221.955
BGEM-0256-N/LH195,NA,NA,NA,NA,NA,NA,123.69,NA,NA,NA,NA,NA,99.92,110.005,163.11,NA,NA,NA,NA,171.84,NA,NA,NA,166.14,NA,NA,177.92,134.1954624,NA,210.325
BGEM-0259-N/LH195,NA,NA,NA,NA,NA,NA,133.54,NA,NA,131.64,NA,NA,144.345,117.915,159.79,NA,NA,NA,NA,168.61,NA,NA,NA,171.37,NA,NA,136.79,181.65035505,NA,192.67
BSSSC0_001/3IIH6,NA,NA,NA,85.42,NA,NA,NA,NA,72.1,NA,NA,118.35,NA,NA,146.625,151.435,147.315,NA,NA,NA,158.165,172.53,NA,153.11,NA,NA,169.885,NA,NA,202.985
BSSSC0_002/3IIH6,NA,NA,NA,79.795,NA,NA,NA,NA,128.275,NA,NA,127.6,NA,98.6,111.955,129.835,151.835,NA,NA,NA,154.815,153.01,158.865,129.285,NA,163.6120613,180.09,152.29773375,162.49,191.615
BSSSC0_005/3IIH6,NA,NA,NA,138.91,NA,NA,NA,NA,75.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.995,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSSSC0_008/3IIH6,NA,NA,NA,85.775,NA,NA,NA,NA,118.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.31,NA,NA,NA,NA,NA,NA,NA,NA,NA
BSSSC0_012/3IIH6,NA,NA,NA,184.48,NA,NA,NA,NA,118.29,NA,NA,137.46,NA,133.545,104.65,145.355,133.78,NA,NA,NA,172.23,210.29,181.935,211.64,NA,180.6124869,188.175,204.11649285,196.635,213.33
BSSSC0_015/3IIH6,NA,NA,NA,61.84,NA,NA,NA,NA,126.1,NA,NA,124.48,NA,154.57,159.03,170.41,164.3,NA,NA,NA,157.34,157.735,159.29,180.295,NA,183.4547409,183.665,173.97295945,199.71,226.565
