line_code,Intcp_mean,Slope_mean,Intcp_para,Slope_para
PHW52/PHP60,158.5069,0.7833,NA,-1.9667
PHW52/PHR03,164.9589,1.3546,NA,-13.6234
PHW52/PHW30,168.5165,1.3619,NA,-14.5088
PHW52/PHW53,145.5129,1.062,NA,-8.5237
PHW52/PHZ51,155.0956,1.1887,NA,-6.4134
PHW52/Q381,142.3461,1.0715,NA,-7.5317
SD101/3IIH6,131.1227,0.8746,NA,-1.6163
TX714/PHZ51,145.3553,0.9409,NA,1.3421
TX740/LH195,163.4338,1.0519,NA,-5.5828
TX770/LH195,169.5629,1.374,NA,-6.6815
W10004_0008/3IIH6,162.0495,0.7501,NA,0.9743
W10004_0045/3IIH6,159.2496,0.9259,NA,-2.6885
W10004_0072/3IIH6,139.9806,1.1605,NA,-1.2131
W10004_0208/3IIH6,140.7932,1.0702,NA,1.7618
W10004_0212/3IIH6,153.7024,0.8985,NA,-3.1152
W10004_0225/3IIH6,158.4197,0.7366,NA,-0.2751
W10004_0258/3IIH6,145.4371,1.251,NA,-3.5058
W10005_0107/PHB47,133.4431,0.8434,NA,-3.5021
PHN11_PHG47_0251/PHB47,132.7766,0.922,NA,-3.561
B14A/OH43,153.8962,1.115,NA,-2.4192
B37/H95,131.2557,1.0084,NA,-6.6703
B73/MO17,157.5921,1.1945,NA,-7.1562
B73/PHM49,164.3097,1.3204,NA,-7.9154
CG118/CGR01,135.6692,1.1068,NA,4.3158
CG120/3IIH6,145.147,1.1156,NA,1.1697
CG120/LH162,118.1535,0.5721,NA,2.315
CG120/LH185,155.7486,1.0182,NA,2.0444
CG120/PHK05,109.9942,0.8398,NA,-0.4649
CG120/PHR25,121.3195,0.8072,NA,1.7269
CG120/PHZ51,104.4738,0.6301,NA,0.9009
CG123/S8324,149.769,0.9154,NA,0.5589
CG124/CG120,133.9183,0.9506,NA,6.4209
CG124/LH145,110.4672,0.72,NA,-0.6193
CG124/PHHV4,142.7518,1.0505,NA,4.3115
CG124/PHRE1,139.6023,1.0727,NA,1.6274
CG124/S8324,143.095,0.8468,NA,0.9511
CG60/LH185,128.6461,0.8806,NA,2.2334
CG60/LH82,128.2713,0.7256,NA,2.8831
CGR01/LH82,141.8066,0.7635,NA,-4.1179
ICI 441/LH123HT,174.7756,1.3384,NA,-6.0092
ICI 441/LH185,171.1668,1.0434,NA,-6.7575
ICI 441/LH38,155.6025,1.0146,NA,-7.1115
ICI 441/LH51,153.34,1.0107,NA,-4.4606
ICI 441/LH82,163.2412,0.8869,NA,-4.8086
ICI 441/PHG29,147.9443,0.8533,NA,-3.2973
ICI 441/PHG47,159.0218,0.8839,NA,-4.4829
ICI 441/PHG83,110.7019,0.6917,NA,-3.4971
ICI 441/PHK56,159.2812,0.9427,NA,-3.1205
ICI 441/PHN82,163.8011,0.9349,NA,-1.463
ICI 441/PHZ51,147.8299,0.7699,NA,-3.3005
ICI 441/Q381,145.7848,0.8701,NA,-4.7337
LH145/LH162,103.9346,0.5777,NA,2.7674
LH145/PHR25,128.6289,0.9515,NA,0.775
LH185/LH145,166.2084,1.0458,NA,3.0406
LH185/PHRE1,144.8712,0.8783,NA,-0.8076
LH185/S8324,157.6363,1.0137,NA,3.3042
LH195/CGR01,166.9203,1.0449,NA,4.1616
LH195/LH38,158.5879,0.9692,NA,-4.0895
LH195/LH51,154.6962,1.1,NA,-3.7105
LH195/PHG29,157.3621,0.9814,NA,-4.6881
LH195/PHG47,157.8307,0.9278,NA,-3.0628
LH195/PHG83,111.3753,0.759,NA,-4.8739
LH195/PHK56,169.1362,1.0833,NA,-3.5983
LH198/CGR01,155.9597,1.2351,NA,7.681
LH198/LH123HT,143.085,1.0405,NA,-2.3046
LH198/LH185,174.8123,1.296,NA,-5.433
LH198/LH38,155.7324,1.1337,NA,-4.6207
LH198/LH51,165.2538,1.215,NA,-3.9035
LH198/LH82,156.4551,1.0901,NA,-6.3636
LH198/PHG29,164.5705,0.9729,NA,-4.9544
LH198/PHG47,162.9967,1.0401,NA,-2.9691
LH198/PHG83,101.4607,0.7048,NA,-5.1107
LH198/PHK56,170.882,1.0435,NA,-5.7783
LH198/PHN37,156.1603,1.0255,NA,-3.0601
LH198/PHN82,174.6172,1.1757,NA,-5.0089
LH198/Q381,161.8005,0.9959,NA,-7.1808
LH74/PHM49,155.3685,1.0374,NA,0.7601
LH82/LH145,126.8425,0.7371,NA,3.508
LH82/PHB47,151.9715,0.9454,NA,2.4593
LH82/S8324,148.3132,0.9296,NA,0.5139
PHB47/LH123HT,160.5605,1.1717,NA,-5.568
PHB47/LH162,150.487,0.7296,NA,3.7273
PHB47/LH185,168.4801,1.0306,NA,-3.2622
PHB47/LH38,141.6892,0.983,NA,-4.8494
PHB47/LH51,155.3102,1.0885,NA,-4.8387
PHB47/LH82,149.2572,0.8463,NA,-0.3504
PHB47/PHG29,149.6514,0.8526,NA,-4.0316
PHB47/PHG47,149.1686,1.0623,NA,-2.9232
PHB47/PHG83,156.6802,1.1676,NA,-6.1746
PHB47/PHK05,128.6737,0.7081,NA,4.2217
PHB47/PHK56,156.8705,0.9523,NA,-2.7217
PHB47/PHN82,162.2927,1.0788,NA,-5.5654
PHB47/PHR25,145.7485,0.8615,NA,1.6966
PHB47/Q381,148.0601,0.8569,NA,-1.7318
