"line_code","env_code","Yield"
"PHG39/PHN82","ARH1",NA
"PHG39/PHN82","ARH1",NA
"PHG39/PHN82","ARH2",NA
"PHG39/PHN82","ARH2",NA
"PHG39/PHN82","GAH1",NA
"PHG39/PHN82","GAH1",NA
"PHG39/PHN82","IAH1",NA
"PHG39/PHN82","IAH1",NA
"PHG39/PHN82","IAH2",NA
"PHG39/PHN82","IAH2",NA
"PHG39/PHN82","IAH3",NA
"PHG39/PHN82","IAH3",NA
"PHG39/PHN82","IAH4",NA
"PHG39/PHN82","IAH4",NA
"PHG39/PHN82","ILH1",NA
"PHG39/PHN82","ILH1",NA
"PHG39/PHN82","MIH1",NA
"PHG39/PHN82","MIH1",NA
"PHG39/PHN82","NCH1",NA
"PHG39/PHN82","NCH1",NA
"PHG39/PHN82","NYH1",NA
"PHG39/PHN82","NYH1",NA
"PHG39/PHN82","NYH2",NA
"PHG39/PHN82","NYH2",NA
"PHG39/PHN82","OHH1",NA
"PHG39/PHN82","OHH1",NA
"PHG39/PHN82","ONH1",NA
"PHG39/PHN82","ONH1",NA
"PHW52/PHM49","SCH1",NA
"PHW52/PHM49","NEH4",43.45
"PHW52/PHM49","NEH3",23.72
"PHW52/PHM49","NEH4",51.98
"PHW52/PHM49","SCH1",NA
"PHW52/PHM49","NEH3",118.96
"PHW52/PHM49","GAH2",82.27
"PHW52/PHM49","GAH1",137.17
"PHW52/PHM49","GAH2",137.42
"PHW52/PHM49","GAH1",174.8
"PHW52/PHM49","DEH1",222.66
"PHW52/PHM49","COH1",93.44
"PHW52/PHM49","TXH1-Dry",172.49
"PHW52/PHM49","COH1",90.66
"PHW52/PHM49","COH1",85.77
"PHW52/PHM49","WIH1",231.425011
"PHW52/PHM49","COH1",92.47
"PHW52/PHM49","ONH2",62.92
"PHW52/PHM49","MOH1",175.66
"PHW52/PHM49","MOH1",140.15
"PHW52/PHM49","WIH2",198.3066238
"PHW52/PHM49","TXH1-Early",181.51
"PHW52/PHM49","TXH1-Dry",172.76
"PHW52/PHM49","TXH1-Early",206.23
"PHW52/PHM49","WIH2",207.402071
"PHW52/PHM49","ONH2",74.69
"PHW52/PHM49","IAH4",142.83
"PHW52/PHM49","WIH1",199.4444125
"PHW52/PHM49","TXH1-Late",72.87
"PHW52/PHM49","TXH2",140.98
"PHW52/PHM49","MNH1",149.65
"PHW52/PHM49","TXH2",125.69
"PHW52/PHM49","TXH1-Late",84.7
"PHW52/PHM49","IAH4",169.64
"PHW52/PHM49","MNH1",157.86
"PHW52/PHM49","ARH1",NA
"PHW52/PHM49","ARH1",NA
"PHW52/PHM49","ARH2",NA
"PHW52/PHM49","ARH2",NA
"PHW52/PHM49","DEH1",NA
"PHW52/PHM49","IAH1",NA
"PHW52/PHM49","IAH1",NA
"PHW52/PHM49","IAH2",NA
"PHW52/PHM49","IAH2",NA
"PHW52/PHM49","IAH3",NA
"PHW52/PHM49","IAH3",NA
"PHW52/PHM49","IAH4",NA
"PHW52/PHM49","IAH4",NA
"PHW52/PHM49","ILH1",NA
"PHW52/PHM49","ILH1",NA
"PHW52/PHM49","INH1",NA
"PHW52/PHM49","INH1",NA
"PHW52/PHM49","MIH1",NA
"PHW52/PHM49","MIH1",NA
"PHW52/PHM49","NCH1",NA
"PHW52/PHM49","NCH1",NA
"PHW52/PHM49","NYH1",NA
"PHW52/PHM49","NYH1",NA
"PHW52/PHM49","NYH2",NA
"PHW52/PHM49","NYH2",NA
"PHW52/PHM49","OHH1",NA
"PHW52/PHM49","OHH1",NA
"PHW52/PHM49","ONH1",NA
"PHW52/PHM49","ONH1",NA
"PHW52/PHN82","OHH1",22.17
"PHW52/PHN82","GAH1",103.68
"PHW52/PHN82","NEH3",45.46
"PHW52/PHN82","NCH1",156.39
"PHW52/PHN82","GAH1",147.47
"PHW52/PHN82","SCH1",NA
"PHW52/PHN82","NCH1",140.8
"PHW52/PHN82","SCH1",NA
"PHW52/PHN82","NYH1",135.52
"PHW52/PHN82","GAH2",118.19
"PHW52/PHN82","NEH4",34.68
"PHW52/PHN82","NEH4",65.94
"PHW52/PHN82","NEH3",201.16
"PHW52/PHN82","NCH1",116.29
"PHW52/PHN82","SCH1",NA
"PHW52/PHN82","NCH1",151.71
"PHW52/PHN82","GAH1",148.52
"PHW52/PHN82","GAH1",122.61
"PHW52/PHN82","SCH1",NA
"PHW52/PHN82","GAH2",194.77
"PHW52/PHN82","TXH1-Dry",166.85
"PHW52/PHN82","TXH1-Early",165.03
"PHW52/PHN82","TXH1-Dry",187.48
"PHW52/PHN82","ARH2",170.07
"PHW52/PHN82","ILH1",154.97
"PHW52/PHN82","COH1",115.02
"PHW52/PHN82","IAH3",244.12
"PHW52/PHN82","DEH1",215.27
"PHW52/PHN82","ILH1",192.78
"PHW52/PHN82","IAH1",170.55
"PHW52/PHN82","COH1",93.56
"PHW52/PHN82","COH1",141.43
"PHW52/PHN82","NYH2",201.49
"PHW52/PHN82","ILH1",138.2
"PHW52/PHN82","COH1",113.41
"PHW52/PHN82","DEH1",246.02
"PHW52/PHN82","DEH1",219.69
"PHW52/PHN82","IAH1",177.41
"PHW52/PHN82","IAH3",239.89
"PHW52/PHN82","IAH3",217.28
"PHW52/PHN82","NYH3",173.18
"PHW52/PHN82","INH1",216.81
"PHW52/PHN82","IAH1",202.49
"PHW52/PHN82","ILH1",154.72
"PHW52/PHN82","COH1",142.22
"PHW52/PHN82","COH1",127.7
"PHW52/PHN82","COH1",103.44
"PHW52/PHN82","INH1",233.44
"PHW52/PHN82","DEH1",229.71
"PHW52/PHN82","NYH1",172.28
"PHW52/PHN82","MOH1",161.98
"PHW52/PHN82","MOH1",150.92
"PHW52/PHN82","MOH1",139.73
"PHW52/PHN82","COH1",109.7
"PHW52/PHN82","MOH1",79.58
"PHW52/PHN82","IAH3",253.51
"PHW52/PHN82","TXH1-Dry",205.72
"PHW52/PHN82","NYH2",173.29
"PHW52/PHN82","ARH2",147.85
"PHW52/PHN82","TXH1-Late",74.55
"PHW52/PHN82","INH1",250.28
"PHW52/PHN82","WIH1",233.6692899
"PHW52/PHN82","INH1",188.74
"PHW52/PHN82","TXH1-Late",108.73
"PHW52/PHN82","TXH1-Late",85.49
"PHW52/PHN82","TXH1-Early",178.8
"PHW52/PHN82","WIH1",227.0438216
"PHW52/PHN82","IAH1",219.69
"PHW52/PHN82","TXH1-Early",183.94
"PHW52/PHN82","ONH2",76.45
"PHW52/PHN82","IAH4",240.53
"PHW52/PHN82","IAH4",224.78
"PHW52/PHN82","TXH2",141.41
"PHW52/PHN82","WIH1",206.406213
"PHW52/PHN82","IAH2",201.22
"PHW52/PHN82","ONH2",86
"PHW52/PHN82","WIH1",248.9372992
"PHW52/PHN82","IAH1",230.75
"PHW52/PHN82","TXH1-Dry",187.01
"PHW52/PHN82","TXH1-Early",179.7
"PHW52/PHN82","TXH2",171.5
"PHW52/PHN82","IAH1",228.67
"PHW52/PHN82","WIH2",209.3326965
"PHW52/PHN82","NYH3",204.45
"PHW52/PHN82","TXH2",148.71
"PHW52/PHN82","IAH3",295.31
"PHW52/PHN82","IAH3",276.48
"PHW52/PHN82","IAH4",234.35
"PHW52/PHN82","WIH2",195.4245773
"PHW52/PHN82","IAH2",178.42
"PHW52/PHN82","IAH4",196.97
"PHW52/PHN82","IAH2",188.45
"PHW52/PHN82","IAH2",184.87
"PHW52/PHN82","IAH4",127.99
"PHW52/PHN82","TXH1-Late",86.49
"PHW52/PHN82","IAH4",194.57
"PHW52/PHN82","TXH2",155.15
"PHW52/PHN82","ONH1",185.36
"PHW52/PHN82","ONH1",214.23
"PHW52/PHN82","WIH2",209.6249265
"PHW52/PHN82","MNH1",159.83
"PHW52/PHN82","ARH1",80.45
"PHW52/PHN82","WIH2",208.1179172
"PHW52/PHN82","ARH2",179
"PHW52/PHN82","ARH2",102.59
"PHW52/PHN82","ARH1",79.28
"PHW52/PHN82","MIH1",212.28
"PHW52/PHN82","MIH1",176.01
"PHW52/PHN82","OHH1",172.21
"PHW52/PHN82","ARH1",107.24
"PHW52/PHN82","OHH1",178.58
"PHW52/PHN82","OHH1",172.88
"PHW52/PHN82","ARH1",151.52
"PHW52/PHN82","MNH1",173.32
"B73/PHM49","NEH4",36.67
"B73/PHM49","GAH1",133.39
"B73/PHM49","NEH3",116.19
"B73/PHM49","GAH1",132.45
"B73/PHM49","NEH3",77.98
"B73/PHM49","NEH4",39.11
"B73/PHM49","SCH1",NA
"B73/PHM49","SCH1",NA
"B73/PHM49","GAH2",162.04
"B73/PHM49","GAH2",131.84
"B73/PHM49","COH1",60.31
"B73/PHM49","COH1",116.83
"B73/PHM49","COH1",76.59
"B73/PHM49","MOH1",190.64
"B73/PHM49","MOH1",166.98
"B73/PHM49","COH1",77.2
"B73/PHM49","TXH2",153.42
"B73/PHM49","TXH1-Dry",181.98
"B73/PHM49","TXH1-Dry",179.96
"B73/PHM49","TXH1-Early",178.46
"B73/PHM49","IAH4",168.47
"B73/PHM49","TXH2",132.56
"B73/PHM49","WIH2",207.1327709
"B73/PHM49","TXH1-Early",194.37
"B73/PHM49","WIH2",226.5685714
"B73/PHM49","WIH1",237.6763212
"B73/PHM49","IAH4",191.04
"B73/PHM49","WIH1",288.7703635
"B73/PHM49","MNH1",121.76
"B73/PHM49","MNH1",177.99
"B73/PHM49","TXH1-Late",106.82
"B73/PHM49","TXH1-Late",91.84
"B73/PHM49","ARH1",NA
"B73/PHM49","ARH1",NA
"B73/PHM49","ARH2",NA
"B73/PHM49","ARH2",NA
"B73/PHM49","DEH1",NA
"B73/PHM49","DEH1",NA
"B73/PHM49","IAH1",NA
"B73/PHM49","IAH1",NA
"B73/PHM49","IAH2",NA
"B73/PHM49","IAH2",NA
"B73/PHM49","IAH3",NA
"B73/PHM49","IAH3",NA
"B73/PHM49","IAH4",NA
"B73/PHM49","IAH4",NA
"B73/PHM49","ILH1",NA
"B73/PHM49","ILH1",NA
"B73/PHM49","INH1",NA
"B73/PHM49","INH1",NA
"B73/PHM49","MIH1",NA
"B73/PHM49","MIH1",NA
"B73/PHM49","NCH1",NA
"B73/PHM49","NCH1",NA
"B73/PHM49","NYH1",NA
"B73/PHM49","NYH1",NA
"B73/PHM49","NYH2",NA
"B73/PHM49","NYH2",NA
"B73/PHM49","OHH1",NA
"B73/PHM49","OHH1",NA
"B73/PHM49","ONH1",NA
"B73/PHM49","ONH1",NA
"B73/PHM49","ONH2",NA
"B73/PHM49","ONH2",NA
"B73/PHN82","NEH4",43.45
"B73/PHN82","NEH4",57.04
"B73/PHN82","NCH1",171.25
"B73/PHN82","NCH1",161.14
"B73/PHN82","NEH3",110.64
"B73/PHN82","SCH1",NA
"B73/PHN82","SCH1",NA
"B73/PHN82","TXH1-Dry",190.73
"B73/PHN82","GAH2",164.28
"B73/PHN82","GAH1",135.59
"B73/PHN82","GAH2",162.81
"B73/PHN82","GAH1",162.51
"B73/PHN82","TXH1-Early",200.61
"B73/PHN82","COH1",85.23
"B73/PHN82","COH1",96.48
"B73/PHN82","COH1",103.84
"B73/PHN82","DEH1",198.2
"B73/PHN82","COH1",86.6
"B73/PHN82","INH1",223.3
"B73/PHN82","MOH1",200.7
"B73/PHN82","MOH1",188.9
"B73/PHN82","DEH1",185.86
"B73/PHN82","NYH2",91.03
"B73/PHN82","ILH1",176.53
"B73/PHN82","INH1",245.4
"B73/PHN82","ILH1",173.81
"B73/PHN82","NYH2",124.21
"B73/PHN82","TXH1-Dry",213.23
"B73/PHN82","NYH1",131.73
"B73/PHN82","TXH1-Early",210.06
"B73/PHN82","ONH2",83.03
"B73/PHN82","OHH1",182.48
"B73/PHN82","IAH1",216.36
"B73/PHN82","IAH4",213.12
"B73/PHN82","IAH1",205.74
"B73/PHN82","ARH2",139.15
"B73/PHN82","ONH2",80.06
"B73/PHN82","IAH3",267.39
"B73/PHN82","IAH2",191.79
"B73/PHN82","NYH1",184.24
"B73/PHN82","TXH2",181.8
"B73/PHN82","ARH1",138.21
"B73/PHN82","IAH3",290.98
"B73/PHN82","WIH1",248.2684844
"B73/PHN82","WIH1",295.4317329
"B73/PHN82","TXH2",222.95
"B73/PHN82","WIH2",198.3011006
"B73/PHN82","TXH1-Late",111.2
"B73/PHN82","IAH4",203.57
"B73/PHN82","IAH2",199.96
"B73/PHN82","WIH2",199.1633964
"B73/PHN82","ONH1",261.24
"B73/PHN82","IAH4",189.14
"B73/PHN82","IAH4",205.66
"B73/PHN82","OHH1",186.49
"B73/PHN82","TXH1-Late",69.93
"B73/PHN82","MNH1",208.85
"B73/PHN82","MNH1",189.96
"B73/PHN82","ARH1",54.69
"B73/PHN82","MIH1",185.84
"B73/PHN82","ARH2",150.3
"B73/PHN82","MIH1",170.17
"B73/PHN82","NEH3",NA
"B73/PHN82","ONH1",NA
"B37/MO17","NCH1",151.68
"B37/MO17","GAH1",93.81
"B37/MO17","NCH1",168.96
"B37/MO17","GAH1",104.14
"B37/MO17","NYH1",113.18
"B37/MO17","TXH1-Early",184.61
"B37/MO17","TXH1-Early",201.56
"B37/MO17","TXH1-Late",92.71
"B37/MO17","TXH1-Dry",173.96
"B37/MO17","TXH1-Dry",186.42
"B37/MO17","TXH1-Late",107.06
"B37/MO17","NYH1",91.08
"B37/MO17","TXH2",85.9
"B37/MO17","TXH2",101.75
"B37/MO17","ARH1",121.67
"B37/MO17","ARH2",122.64
"B37/MO17","ARH2",114.83
"B37/MO17","ARH1",162.18
"B37/MO17","OHH1",138.31
"B37/MO17","OHH1",184.27
"B37/MO17","COH1",NA
"B37/MO17","COH1",NA
